"Name","ProvisionedSpaceGB"
"monprd1g","316.18392461445182561874389648"
"bldgedprd1e","316.18796424102038145065307617"
"wsictt2d","174.18509261682629585266113282"
"ctxprd2z","216.16817496810108423233032227"
"DBSTST1E","408.18485111650079488754272461"
"vuetest24","54.181939340196549892425537109"
"hmrctt1b","187.18527690041810274124145508"
"vtxctt1d","108.16363607253879308700561523"
"wmrtst2a","187.18453089427202939987182617"
"srpctt2m","133.18401518650352954864501953"
"wshdev1f","182.18619004078209400177001953"
"icdwdpvueapp-2","227.16744525171816349029541016"
"icdusvidamdb01","34.182172965258359909057617187"
"wrpdev1a","149.18876572791486978530883789"
"wmrprd1a","187.18539459258317947387695313"
"hubctt1h","138.18454786203801631927490234"
"wshctt2e","207.18584404140710830688476562"
"wsictt1d","174.18671756051480770111083985"
"icdupgcmsapp48","124.16592110414057970046997070"
"wsvctt2h","166.16335104499012231826782227"
"wsactt1d","183.18301901407539844512939453"
"ctxtst1j","188.16612965799868106842041015"
"Xvtxctt1c-ws-25-02-20-delete-TASK0515841","108.16327934805303812026977539"
"Xvtxctt1d-ws-25-02-20-delete-TASK0515841","108.16308468859642744064331055"
"icdwppromsdb06","10976.200618971139192581176757"
"wmrctt1b","187.18475522566586732864379883"
"bldgedprd1c","732.18790969625115394592285157"
"bldprd1v","596.18461635150015354156494141"
"Msgctt1e","104.16405355371534824371337890"
"icdudcoreapp07","22.181156856007874011993408204"
"icdwpcertapp02","126.18219924066215753555297852"
"icpgmprod1","64.164142706431448459625244141"
"hmrctt1a","187.18588347639888525009155274"
"hubctt2a","216.18457413651049137115478516"
"ICPPCDC09","308.16171133797615766525268554"
"us-iowac-corvids96","22.163618579506874084472656250"
"wsvtst2b","136.18420430365949869155883789"
"srptst2m","135.18458931148052215576171875"
"wsvprd1o","170.16548867058008909225463867"
"Webctt1h","130.18479372933506965637207031"
"icduphalmweb01","88.18449160456657409667968750"
"wsvprd1d","120.18644511234015226364135742"
"wsvprd1e","120.18644598219543695449829102"
"icdupecomweb01","439.76024053711444139480590820"
"iccpwdev1","16.662415142171084880828857422"
"wsidev1e","190.18634104449301958084106446"
"ctxdcprd1d","216.16753465496003627777099609"
"vtxdev1c","108.16642165835946798324584961"
"ctxdctst1a","204.16450677160173654556274414"
"icdupucsmweb01","20.163706148043274879455566406"
"ctxdcprd1c","216.16764123179018497467041016"
"icdudpodbweb01","42.182365419343113899230957032"
"wshtst2f","157.18621993251144886016845703"
"svctst2a","137.18559419456869363784790039"
"svctst2b","137.18561400938779115676879883"
"icdupgcmsapp92","124.18403726257383823394775390"
"spfctt1b","662.19074737560003995895385742"
"Xvtxctt1c-vertex-ui-25-02-20-delete-TASK0515841","108.16328353248536586761474609"
"icdwtcertweb06","126.18614666257053613662719726"
"WIN2K12_Standard_1","79.179843813180923461914062500"
"Xvtxdev1c-admin-11-05-20-delete-TASK0529891","108.16313987225294113159179688"
